year,month0,day0,doy0,yue30,yue40,daymarch0,month5,day5,doy5,yue35,yue45,daymarch5,month10,day10,doy10,yue310,yue410,daymarch10,month20,day20,doy20,yue320,yue420,daymarch20
1951,11,4,311,59,90,228,10,20,296,59,90,191,10,8,284,59,90,167,8,22,236,59,90,89
1952,11,4,312,60,91,228,10,20,296,59,90,184,10,9,285,59,90,165,8,30,244,59,90,84
1953,10,28,304,59,90,199,10,18,294,59,90,180,10,7,283,59,90,144,8,19,233,59,90,68
1954,11,8,315,59,90,223,10,27,303,59,90,202,10,2,278,59,90,156,9,1,246,59,90,69
1955,10,29,305,59,90,207,10,5,281,59,90,168,9,29,274,59,90,145,8,26,240,59,90,67
1956,11,3,311,60,91,216,10,17,293,59,90,180,9,24,269,59,90,148,8,15,229,59,90,82
1957,10,27,303,59,90,209,10,15,291,59,90,182,9,22,267,59,90,132,8,12,226,59,90,47
1958,11,6,313,59,90,272,10,24,300,59,90,192,9,30,275,59,90,142,8,18,232,59,90,82
1959,11,5,312,59,90,235,10,23,299,59,90,189,10,9,285,59,90,164,8,26,240,59,90,48
1960,11,1,309,60,91,214,10,13,289,59,90,181,10,1,277,59,90,145,8,31,245,59,90,85
